cat1cat2,firstchoice,secondchoice
automotive-games,0.0458696096,0.0299802249
health-news,0.0439806805,0.03513852
adult-news,0.048408387,0.0340171845
travel-news,0.0475315576,0.0343645354
sport-news,0.0427729862,0.0371852889
shopping-sport,0.0373310109,0.034698295
news-music,0.0421695413,0.0335580092
fooddrink-news,0.0573599147,0.0366560495
software-news,0.0407473012,0.0350436317
science-news,0.0459851985,0.0365956477
photos-news,0.0497697694,0.0339680173
financial-news,0.0387666332,0.0351815607
music-religion,0.0486097221,0.0319754537
themeparks-news,0.0428929089,0.03268356
realestate-news,0.0374529824,0.0333842516
weather-news,0.0612844598,0.03376608
movies-news,0.0514050035,0.0413589685
history-news,0.0342791634,0.0334540059
television-news,0.0543914805,0.0356549959
religion-automotive,0.0479768611,0.0305711098
socialnetworking-news,0.0433290465,0.032849667
government-news,0.0380099605,0.03321294
reference-news,0.0354169485,0.0330269833
socialscience-themeparks,0.0356953584,0.0340364826
email-travel,0.0449451723,0.0340985648
education-news,0.0362198703,0.0333798567
instantmessaging-news,0.0456369729,0.0359635974
games-shopping,0.0368024634,0.03334835
crime-automotive,0.0369751,0.0321060214
literature-automotive,0.0375117637,0.0308027254
maps-automotive,0.0345008286,0.0312781833
regional-realestate,0.07724725,0.0383678
