Category,Nolid,Lid,Percent,Difference
sport,739,717,0.0297699594,22
adult,28048,27506,0.019324016,542
instant messaging,299,275,0.0802675585,24
news,9609,9430,0.0186283692,179
entertainment,15356,15047,0.0201224277,309
other,24136,23018,0.0463208485,1118
social networking,662,612,0.0755287009,50
weather,347,326,0.060518732,21
email,243,191,0.2139917695,52
shopping,31696,30710,0.0311080262,986
financial,7788,7354,0.0557267591,434
travel,12195,11124,0.0878228782,1071
foreign,0,4827,0,-4827
photos,399,385
maps,7,7
