category,graph1,graph2
c1,0.0310477,0.0306447
c2,0.0311941,0.0311263
c3,0.0309868,0.0306692
c4,0.0310375,0.0307171
c5,0.0309937,0.0305475
c6,0.0312231,0.0313423
c7,0.0311857,0.0311236
c8,0.0314411,0.0315677
c9,0.0310797,0.0307511
c10,0.0310342,0.0308877
c11,0.0312397,0.0310104
c12,0.031058,0.0310319
c13,0.0310782,0.0308354
c14,0.0315295,0.0314551
c15,0.0310164,0.0306472
c16,0.0310345,0.0305683
c17,0.0314798,0.0313124
c18,0.0309997,0.0307372
c19,0.0310933,0.0308377
c20,0.0309993,0.0305524
c21,0.0310301,0.0307183
c22,0.0311888,0.0310124
c23,0.0310369,0.0309657
c24,0.0313509,0.0309044
c25,0.0312021,0.0309275
c26,0.0309867,0.0305475
c27,0.0313097,0.0313367
c28,0.0310378,0.030718
c29,0.0311222,0.0305475
c30,0.0313006,0.0401535
c31,0.03187,0.0318613
c32,0.0318124,0.0319422

