x,ultraman,rogue
1-1,24.4389261697,24.8970747562
1-2,25.7049323358,24.9195734683
1-3,25.671670136,25.2944413869
1-4,25.5276566122,25.3130163393
1-5,25.436013799,24.8746166336
2-1,96.1325812771,102.8187919463
2-2,96.3179255761,102.5130111524
2-3,96.3078341529,102.5130111524
2-4,96.2997625367,102.8187919463
2-5,96.4560539497,102.7421758569
3-1,138.6316106978,211.472392638
3-2,138.3450725423,212.7777777778
3-3,140.467603912,211.1485451761
3-4,139.6269404867,212.7777777778
3-5,139.8975243507,213.1066460587
4-1,79.8540568715,343.8403990025
4-2,75.1129003263,350.8396946565
4-3,62.239435221,341.2871287129
4-4,57.2619863369,347.3047858942
4-5,63.3832858325,346.432160804
5-1,42.2585499358,458.073089701
5-2,34.0588820852,459.6
5-3,59.5,458.073089701
5-4,61.9270896491,415.3012048193
5-5,67.9075883535,459.6
6-1,,30.0195950359
6-2,,29.6771416272
6-3,,450.5882352941
6-4,,447.6623376623
6-5,,0
